진로가고민입니다.ㅠㅠ
자신의스펙에만족하세요?ㅠㅠ?
내적성을모르겠어요...ㅠㅠ
어문계열전공자분들은ㅠㅠ
끝없는고민ㅠㅠ스펙...
막막하네요.답변부탁드려요ㅠㅠ
인턴고민입니다ㅜㅜ
서류통과하고싶어요ㅠㅠ
취직이뭔가요ㅠㅠ
다들주변에서취직하는데ㅠㅠ..
고민하다고민에깔리네요ㅠㅠ
뭘해야할지모르겠어요ㅠ
하지만재취업생각...ㅠㅠ..고민ㅠㅠ
