직무선택고민ㅠㅠ
봉사활동
토익괜찮은학원있나요?????
연말에도토익공부하는분들계시나요?
면접잘보는법알려주세요..
면접잘보는법알려주세요..
위본모터스면접진행하셨던분계시나요?
동계인턴하시는분??
대졸취업취준생에게정보를주세요!
과외선생님구해요
sk고용디딤돌넣으신분?
영상편집쪽야근철야엄청나나요??
영상편집쪽야근철야엄청나나요??
직장인자기계발뭐별거있나요?ㅎㅎ
직장인자기계발뭐별거있나요?ㅎㅎ
답변부탁드려요ㅜㅜㅜ
답변부탁드려요ㅜㅜㅜ
내일대형건축사건축CG분야신입으로면접앞두고있는데
일진디스플레이최종면접(연구개발)
외국계기업혹은인사쪽하시는분들께질문드립니다..
형님누님들도와주세요!@@
형님누님들도와주세요!@@
준비준비
보통취업할때뭐준비하시나요?
보통취업할때뭐준비하시나요?
조만간면접보시는분계세요?
이직고민
이직고민
이력서사진찍을때뒷배경같은거수정해주는업체가있나요..
내일이면gsat시험일이네요~
청년인턴제어떻게생각하세요?
님들답좀부탁드립니다!!
스팩초월전형
취업준비생들치아안이쁘면교정하나요?
취업준비생들치아안이쁘면교정하나요?
공무원한국사!
조언좀..
막가입한어린남자아이의고민을들어주세요
토익해야하는데,,800대에서900대빨리가는공부방법
토익해야하는데,,800대에서900대빨리가는공부방법
토익해야하는데,,800대에서900대빨리가는공부방법
진로고민좀들어주세요ㅠㅠㅠㅠㅠㅠ
삼성만오픽선호하는건가요아님대기업다그런가여
삼성가려면오픽필수인가봐요흑..
조언부탁드립니다
조언부탁드립니다
조언부탁드립니다
토익토스해야될듯
토익토스해야될듯
학점관련질문요ㅠㅠ
사람인자소서항목및글자수질문드립니다!
토익땜에빡침!!!!!!!!!
토익땜에빡침!!!!!!!!!
토익땜에빡침!!!!!!!!!
토익땜에빡침!!!!!!!!!
연봉질문은...?
공채화이팅
하반기자신없어요ㅠ
전공살려야할지
전공살려야할지
전공살려야할지
전공살려야할지
진로고민
진로고민
진로고민
진로고민
스펙VS직무역량무엇을어떻게준비해야할까요?
-
27살,IT회사취직을희망하고있습니다.
NCS
한국직무능력인증시험.......
중소기업준비중인데코앱봐야겠죠?
하반기준비시작해야하는데
직무능력검사접수햇는데살짝걱정이..
취업고민전에나의꿈에대해먼저고민을..
전역한지얼마안됬는데제가어떻게진로를나가야될지모르겟어요조언좀부탁드려요힘듭니다정말
동생이22일에인적성본다는데볼만한건지모르겟네요
준비할게점점늘어나네요....@_@
전공관련계약직VS전공과관련없는정규직채용형인턴.
대학생취업걱정입니다.
영상촬영용카메라저렴한거추천좀해주세요
저면접보러오라고연락왔는데요~~
ASML질문드립니다
이직하고싶어요ㅠㅠ
이직하고싶어요ㅠㅠ
학점...학점더신경못쓴게한이되네요ㅠ
채용사이트를많이둘러봐야할것같아요
한솔교육학습지교사정보좀요!
한솔교육학습지교사정보좀요!
한솔교육학습지교사정보좀요!
아직제가쌓은스펙이하나두없는데요
아직제가쌓은스펙이하나두없는데요
학점아예안보는대기업,외국계,공기업
대기업공모전이라면취업스펙업에도움되겠죠?
지방대출신백화점입사
지방대출신백화점입사
뭐부터해야할지..
뭐부터해야할지..
뭐부터해야할지..
문과생OCJP
문과생OCJP
잡코리아를이용하면서느낀점
잡코리아를이용하면서느낀점
취준생분들의도움이필요합니다ㅠㅠ
취준생분들의도움이필요합니다ㅠㅠ
취준생분들의도움이필요합니다ㅠㅠ
영어면접
영어면접
8월부턴이제진짜취업준비ㄱ..
8월부턴이제진짜취업준비ㄱ..
기적의자소서??...진심좋아요...추천
기적의자소서??...진심좋아요...추천
토익은필수인가...
상반기신입/경력
궁금한점이있습니다..
여자30살이면이직할해도많은나이아니죠?
영어때문에고민이신분들지금원어민회화무료체험신청해보세요!
영어때문에고민이신분들지금원어민회화무료체험신청해보세요!
ㄱㅣ업은행
공기업공공기관ncs준비어떻게하고계세요?
공기업공공기관ncs준비어떻게하고계세요?
밀알복지재단2015년모금인재학교인턴2기모집
밀알복지재단2015년모금인재학교인턴2기모집
국회청년정책기자단^^
국회안상수의원실에서청년정책기자단모집중입니다!!^^
신입/경력직원모집대박좋은기회!
신입/경력직원모집대박좋은기회!
전공vs떠오르는분야(무역vs인터넷마케팅)
전공vs떠오르는분야(무역vs인터넷마케팅)
학점때문에고민이엄청많습니다..조언좀부탁드릴께요
학점때문에고민이엄청많습니다..조언좀부탁드릴께요
영어울렁증?영어회화?
영어울렁증?영어회화?
유라시아포럼서울2015,국내대표CEO와대학생이직접만나서나누는JOB담
유라시아포럼서울2015,국내대표CEO와대학생이직접만나서나누는JOB담
[열정대학20기모집]미친과목들을소개합니다!
[열정대학20기모집]미친과목들을소개합니다!
신입/경력직원모집대박좋은기회!
신입/경력직원모집대박좋은기회!
[DGIST]2016학년도대학원봄학기1차전형원서접수안내(7.2~7.16)
[DGIST]2016학년도대학원봄학기1차전형원서접수안내(7.2~7.16)
취업을하는게나을까요?아니면방통대로진학하는게나을까요
취업을하는게나을까요?아니면방통대로진학하는게나을까요
휴..마케팅&기획전문가되고싶어요ㅠㅠ
휴..마케팅&기획전문가되고싶어요ㅠㅠ
올해목표자격증2개..
더좋은영양상담사급여아시는분
진정한취준고수가되려면?
＃메르스,＃취업,＃메르스<취업.취업하고싶다!!!!
이공계취업준비중이신분들!!
무료자소서첨삭및강의
갈지말지고민됩니다.
벤처기업취업은?
ncs공모전하네요....관심있으신분들
이직or어학연수
이직or어학연수
이직....
전문가분들제고민좀들어주세요...
일본계전장회계부문
서류에서졸업증명서..
서류에서졸업증명서..
계약직2년후엔어떻게되는건가요?+이직고민도..
유학상담받기좋은곳ㅠㅠ
유학상담받기좋은곳ㅠㅠ
유학상담받기좋은곳ㅠㅠ
학원vs회사
제가하고싶은일이...다들안어울린다고하는데요...
제가하고싶은일이...다들안어울린다고하는데요...
제가하고싶은일이...다들안어울린다고하는데요...
pt면접에서..
pt면접에서..
보통중소기업인턴은어디서많이구하시나요?
보통중소기업인턴은어디서많이구하시나요?
hsk5급2달만에가능?
hsk5급2달만에가능?
회사고민
성적증명서요..
꿈은스튜어디스인데...아직멀었어요도와주세요
꿈은스튜어디스인데...아직멀었어요도와주세요
진로가고민됩니다..
진로가고민됩니다..
식품공학과나와서
호주유학이라도갈까해요
호주유학이라도갈까해요
호주유학이라도갈까해요
공기업면접...
서류제출할때,기입했던내용이기억이안나면...
서류제출할때,기입했던내용이기억이안나면...
공무원으로이직하는건어떨까요?
공무원으로이직하는건어떨까요?
제과제빵배우고있습니다.
제과제빵배우고있습니다.
자소서에경쟁사이름언급해도되나여???
메리츠연봉궁금궁금
취준생의직무&진로선택에대한고민좀들어주세요.
취준생의직무&진로선택에대한고민좀들어주세요.
<고수익/소액/급전/알바/투잡/부업하실분들모십니다.>
대기업은아니더라도중소중견기업은갈수있나요?
대기업은아니더라도중소중견기업은갈수있나요?
itoperator는무슨직업인가요??
테셋!!
합격스펙올려봐요
삼성전자합격스펙
한화화약,현대다이모스최종합격
현대건설인턴,삼성증권인턴합격했던스펙
현대자동차스펙
기업은행합격스펙
IBK기업은행청년인턴최종
30살재취준남스펙평가부탁드려요~!
합격스펙이요
26살여자건설사취업위한스펙조언
26세남자프랑스에서대학다니고있습니다.냉정한조언부탁드립니다!
하반기를목표로준비하고있는취준생입니다.
서류전형14승16패
23여자스펙
LS니꼬동제련인적성
87년생남스펙평가좀해주세요
스펙평가부탁드려요ㅜㅜ
공기업가고싶습니다.
24살여자요~
올해로31가되는취준생..
스펙평가좀..29남입니다
29살공대남스펙평가좀해주세요.
스펙평가좀해주세요
공사준비중
26살스펙평가좀
28세경영대여성평가부탁
[공지]식스팩말고합격스펙게시판이용수칙
28살여자,스펙
26남스펙평가좀
한전인턴서류합격스펙
합격스펙
이것좀봐주세요!!
