[급]영어면접좀도와주세요ㅠㅠ
지지무역면접봐보신분들잇으신가요~~?ㅠㅠ
디자인계열취업하고싶은데뭘로나갈지고민이에요ㅠㅠ
보건관력학과졸업취업고민입니다..ㅠㅠ
직무선택이너무어렵습니다...ㅠㅠ
광탈이너무힘드네요..ㅠㅠㅠ
중소기업ㅠㅠ?
인턴고민입니다ㅜㅜ
중소기업서류도다떨어집니다.ㅠㅠ
내적성을모르겠어요...ㅠㅠ
포스코필기시험자료고유부탁드립니다ㅜㅜ
진로가고민입니다.ㅠㅠ
취직에길이없습니다ㅜㅜ
저도이직이하고싶습니다.직장이없거든요ㅜㅜ
대기업인적성검사에역사문제들과한국사자격증내용이많이겹치나요??
직무선택고민ㅠㅠ
답변부탁드려요ㅜㅜㅜ
이직하고싶어요ㅠㅠ
유학상담받기좋은곳ㅠㅠ
