항공사취업vs의류쪽취업
itoperator는무슨직업인가요??
20대늘갈팡질팡한나이.
취업상담부탁드립니다.
대학교VS고졸공기업
[디자인]시각,영상디자인선배님들!
마케팅쪽일하고있는데요....
진로고민입니다..
회계직-중소기업,회계사사무소질문드려요
회계직-중소기업,회계사사무소질문드려요
새마을금고가능할지..
무역관련진로
반도체회사나장비회사연봉은어떻게되나요??
진로고민있습니다~(짧게!)
진로고민있습니다~(짧게!)
(사회복지)진로고민있습니다~
(사회복지)진로고민있습니다~
고민~
고민~
취업고민
취업고민
진로가고민입니다.ㅠㅠ
진로가고민입니다.ㅠㅠ
대기업인적성검사에역사문제들과한국사자격증내용이많이겹치나요??
대기업인적성검사에역사문제들과한국사자격증내용이많이겹치나요??
지멘스에너지솔류션즈......
잘하고있는건지모르게습니다
잘하고있는건지모르게습니다
잘하고있는건지모르게습니다
진로고민
진로고민
서류토익700
서류토익700
자격증문의
자격증문의
자격증관련없어도따나요?
자격증관련없어도따나요?
웰크론(세사리빙)이란회사에대해아시는분??
서류하나도빠짐없이다떨어지는데과가문제일까요
서류하나도빠짐없이다떨어지는데과가문제일까요
잘하고있는건지모르겠네요
잘하고있는건지모르겠네요
보완해야할점을알고싶습니다.
영어회화를잘하고싶은데요
졸업이1년여남은상태의고민
졸업이1년여남은상태의고민
행정직에무슨전문성이...
행정직에무슨전문성이...
전기공학과에재학중인학생입니다.
전기공학과에재학중인학생입니다.
토익875인데요
토익875인데요
생산관리와품질관리업무에대해서잘아시는분?
도움부탁드립니다...
1분자기소개해보세요.
1분자기소개해보세요.
제가원하는직무는이런거에요.
역시스펙인가?
역시스펙인가?
금융권의시작은?
금융권의시작은?
어제면접보러갔다왔습니다.
어제면접보러갔다왔습니다.
너무너무고민됩니다..진로라는게이렇게힘든가요..제발도움주세요ㅠㅠ
어디서부터시작해야할지..
어디서부터시작해야할지..
희망직무?
고민이많습니다.
요즘고민이많아요..
진로관련해서
취준생인데아직도....
제진로에대해...진짜진지해요궁서체임...
제진로에대해...진짜진지해요궁서체임...
회계팀으로입사시2년동안어떤것을배울수있을까요?
서류탈락..문제가뭘까요?
서류탈락..문제가뭘까요?
포스코필기시험자료고유부탁드립니다ㅜㅜ
일분자기소개
다양한경험은어떻게
금융권인적성이
경영지원은
자기소개서쓸때
이직을하고싶습니다...
지역농협면접
테셋!!
테셋!!
영업은아무래도
어문계열전공은상경계열복전을꼭해야하나요..?
어문계열전공은상경계열복전을꼭해야하나요..?
마지막한마디....
내게맞는회사는....
총무취준생입니다.조언좀부탁드립니다.
영업직무에서는면접때어떤역량이중요할까요
공기업이제부터준비하려하는데
왜안되나요..
왜안되나요..
왜안되나요..
그룹면접
오픽도많이쳐주나요
도대체서류통과는어떻게해야...되는건가요
도대체서류통과는어떻게해야...되는건가요
잘모르겠어요ㅠㅠ
내적성을모르겠어요...ㅠㅠ
내적성을모르겠어요...ㅠㅠ
토스오픽
전공
기본스펙에나이많으면...ㅠㅠ
자신의스펙에만족하세요?ㅠㅠ?
공기업토익안정권
공기업토익안정권
회계직.첫직장관련질문잇어요
나이가많아요.ㅜ
스터디는어떻게..
스터디는어떻게..
한국전력기술고졸분야로
현대제철면접대비질문있습니다
MPC라는회사아시는분계세요??
[1분자기소개]***에지원한***입니다.다음첫문장을어떻게만들어야좋을까요?
의료기기관련직업?(기계공학과)
면접시머리...
성장과정
sk하이닉스에대한질문
회계1급만자격증으로봐주고2급은이제취급도안해준다는데
경영학을전공하면할수있는게많다고생각했는데
토익
어문계열전공자분들은ㅠㅠ
어문계열전공자분들은ㅠㅠ
대사관행정직
면접의상
대학병원행정직잘아시는분계신가요?
ASML면접준비하시는분이나면접하신분계신가요?
SK하이닉스vsS-oil
4학년1학기인데..
면접준비
오늘토익보신분???
이라이콤과에스엔에프솔루션(SNF솔루션)에대한정보를알고싶습니다.
면접이라...
영어면접
영어면접
전공?
자격증
교보
sgi어떻게준비하나여
sgi서울보증
휴학사유
면접복장관련
서류잘썼나확인하시느각자의노하우는?
전공이다른데
이력서사진이중요한가요
서류관련..
토익만기가13일인데
전공관련ㅠㅠ
현대자소서는어떤스타일을선호할까요
.
넥타이색깔
.
영업관리와마케팅
가족사항근무처,직위어떻게써야하나요?
현대위아vs현대모비스vs현대엔지니어링선택이요!!!
진로에대해고민입니다
진로에대해고민입니다
인사관련자격증
취미특기
취미특기
대우조선해양직영면접보신분계십니까,
전문대출신대기업다니면
전문대출신대기업다니면
전문대출신대기업다니면
전문대출신대기업다니면
법학입니다.
법학입니다.
학점
자격증을...?
경영학과입니다.
경영학과입니다.
2년넘은성적은.쓰는게좋을까요?
초,중,고때받은상장을자소서에언급해도될까요?
LIG넥스원면접경험있으신분?
대기업이냐....중견이나중소냐....
대기업이냐....중견이나중소냐....
대기업이냐....중견이나중소냐....
대기업이냐....중견이나중소냐....
대기업이냐....중견이나중소냐....
유보냐졸업이냐
유보냐졸업이냐
유보냐졸업이냐
유보냐졸업이냐
유보냐졸업이냐
유보냐졸업이냐
면접연습은어떻게하나요?
면접연습은어떻게하나요?
면접연습은어떻게하나요?
면접연습은어떻게하나요?
R&D에좋은스펙쌓기는무엇이있을까요??
자소서첨삭
전공관련질문!
끝없는고민ㅠㅠ스펙...
진로결정쉬운게아니네요
진로결정쉬운게아니네요
올해시험,붙는다!
올해시험,붙는다!
서울비젼연락이요...
잘하는것과해야하는것
잘하는것과해야하는것
잘하는것과해야하는것
자격증기입할때..
자격증기입할때..
봉사활동이요
봉사활동이요
봉사활동이요
봉사활동이요
봉사활동이요
복학생인데
4학년막학기
4학년막학기
4학년막학기
4학년막학기
스펙을어떤식으로작성?
선배님들!등불이되어주세요~~
선배님들!등불이되어주세요~~
인사관련업무에대한질문.....
인사관련업무에대한질문.....
토익스피킹어떻게준비하는건가요?
토익스피킹어떻게준비하는건가요?
31살취업가능할까요...........
31살취업가능할까요...........
스토리(경험)이스펙을이기려면어떻게경험을쌓아야될까요?(구체적인예를들면요...
스토리(경험)이스펙을이기려면어떻게경험을쌓아야될까요?(구체적인예를들면요...
강남토익스피킹학원추천좀해주세요
강남토익스피킹학원추천좀해주세요
강남토익스피킹학원추천좀해주세요
대기업공기업나이제한
대기업공기업나이제한
어느자격증을따는게좋을까요?
어느자격증을따는게좋을까요?
지금토익825에토스6급(140)인데..
여러분!!!!!!!!!!!!
여러분!!!!!!!!!!!!
아파트사설보안업체임금체계에대해서문의드립니다
뻔하긴하지만
뻔하긴하지만
오늘저축은행중앙회면접보고오신분계시나요..??
이력서양식..
중소기업서류도다떨어집니다.ㅠㅠ
성취감을자주느낄수있는분야내용추가해서질문드립니다.
홈페이지에서접수하는기업의경우떨어진곳에다시입사지원서를넣으려면아이디를탈퇴하고재가입하는것이좋나요?
셀트리온QC실무면접에대해서질문입니다
군대병과(주특기)잘못선택해도괜찮나요?
질문이요nn
질문이요nn
남자가여행사취업하면다들어떻게생각하나요?
남자가여행사취업하면다들어떻게생각하나요?
제스펙으로진로고민이요..
서류는아니고한국사관련문의드립니다.
외국대학졸업후한국에서취직을하려고하는데요.
28세여재취업가능할까요
28세여재취업가능할까요
이마트에브리데이에합격했습니다.연봉및비젼이정말궁금합니다.
이마트에브리데이에합격했습니다.연봉및비젼이정말궁금합니다.
CJ상반기합격직무그대로다시써도될까요?
이랜드상반기합격직무그대로또써보신분?
이랜드상반기합격직무그대로또써보신분?
포스코직무고민입니다.
셀트리온전공면접통과하신분들도와주세요...
고민좀들어주세요
고민좀들어주세요
한전or발전소를준비하고있는늦깎이4학년입니다..(전자과)
출판기획/북에디터의직무를위한최선의대학원
출판기획/북에디터의직무를위한최선의대학원
코레스업무에대한질문입니다.
코레스업무에대한질문입니다.
보훈대상범위아시는분...
보훈대상범위아시는분...
외국계기업개인사업자
외국계기업개인사업자
유학다녀왔던..애기엄마취업할수있을까요?(상담요망)
유학다녀왔던..애기엄마취업할수있을까요?(상담요망)
이력서에자격증기재시질문이요
이력서에자격증기재시질문이요
음대를졸업하고도제가지원할수있는회사가있을까요?조언부탁드립니다..
고졸채용관련입니다(기업은행)
고졸채용관련입니다(기업은행)
서류지원에대해궁금증말씀드립니다.
서류지원에대해궁금증말씀드립니다.
서류지원에대해궁금증말씀드립니다.
서류지원에대해궁금증말씀드립니다.
[내용있음]낮은토익점수쓰는게좋을까요?
[내용있음]낮은토익점수쓰는게좋을까요?
[내용있음]낮은토익점수쓰는게좋을까요?
문과생인데공대로전과를해봐야할지고민입니다..
문과생인데공대로전과를해봐야할지고민입니다..
연구개발직무에서이력서내연구내용기록
연구개발직무에서이력서내연구내용기록
KT&G입사하고싶어요!
KT&G입사하고싶어요!
자동차부품중견기업영업질문드립니다
포스코해외채용해보신분계신가요?
포스코해외채용해보신분계신가요?
포스코해외채용해보신분계신가요?
고졸만으론대기업들어가기힘든가요
고졸만으론대기업들어가기힘든가요
고졸만으론대기업들어가기힘든가요
취업사진..
취업사진..
신입취업연령제한솔직히어떤가요?
신입취업연령제한솔직히어떤가요?
신입취업연령제한솔직히어떤가요?
재무쪽경영기획쪽으로관심이있는유학생진로질문드립니다
재무쪽경영기획쪽으로관심이있는유학생진로질문드립니다
경력이직방법......ㅠㅠㅠㅠ
경력이직방법......ㅠㅠㅠㅠ
혼전임신으로애기아빠가되었습니다.학점은행제졸업인데취업의길이있을까요..?
혼전임신으로애기아빠가되었습니다.학점은행제졸업인데취업의길이있을까요..?
이스트소프트줌인터넷제휴합격했는데
이스트소프트줌인터넷제휴합격했는데
막학기인턴에고민이되요
막학기인턴에고민이되요
막학기인턴에고민이되요
막학기인턴에고민이되요
막학기인턴에고민이되요
scm
scm
막막하네요.답변부탁드려요ㅠㅠ
막막하네요.답변부탁드려요ㅠㅠ
막막하네요.답변부탁드려요ㅠㅠ
작은성취감이라도자주느낄수있는직업이있을까요?
작은성취감이라도자주느낄수있는직업이있을까요?
작은성취감이라도자주느낄수있는직업이있을까요?
아모레퍼시픽R&D토익스피킹레벨최소얼마나필요할까요?
아모레퍼시픽R&D토익스피킹레벨최소얼마나필요할까요?
아모레퍼시픽R&D토익스피킹레벨최소얼마나필요할까요?
기술영업문과질문드립니다..
기술영업문과질문드립니다..
기술영업문과질문드립니다..
제가공부하느라취업이늦어서요.평가좀해주세요~~
제가공부하느라취업이늦어서요.평가좀해주세요~~
면접질문요
면접질문요
면접질문요
면접질문요
면접질문요
토익공부질문요
토익공부질문요
토익공부질문요
토익공부질문요
회계재무직무,,절실한마음으로조언부탁드립니다..
회계재무직무,,절실한마음으로조언부탁드립니다..
사무자동화독학공부
사무자동화독학공부
사무자동화독학공부
진로
진로
진로
필립모리스양산공장에계약직제안이왔는데고민됩니다.
필립모리스양산공장에계약직제안이왔는데고민됩니다.
SKT인바운드상담원을할까고민중입니다.--
SKT인바운드상담원을할까고민중입니다.--
너무답답합니다
너무답답합니다
너무답답합니다
너무답답합니다
영어점수때문에고민입니다
영어점수때문에고민입니다
영어점수때문에고민입니다
하드웨어경력관련
하드웨어경력관련
해외부동산취업에대해서궁금합니다
해외부동산취업에대해서궁금합니다
보통경력을쌓을때
보통경력을쌓을때
보통경력을쌓을때
도와주세요..
도와주세요..
-
19살학생인데국내MBA를준비해야될지너무고민돼요(내용많이길어도후배한번도와주신다생각하고조언부탁드려요)
컴퓨터활용능력자격증
컴퓨터활용능력자격증
어디서부터어떻게준비를해야할까요?
어디서부터어떻게준비를해야할까요?
왜대졸자만원하나요,,
왜대졸자만원하나요,,
왜대졸자만원하나요,,
한국플랜트협회에서연수생들을교육하는거요취업할때도움이되나요?
한국플랜트협회에서연수생들을교육하는거요취업할때도움이되나요?
한국플랜트협회에서연수생들을교육하는거요취업할때도움이되나요?
한국플랜트협회에서연수생들을교육하는거요취업할때도움이되나요?
미국에있어서인터뷰고민입니다
미국에있어서인터뷰고민입니다
고밉입니다
고밉입니다
서류지원대략언제부터인가요?8월말?9월초?
서류지원대략언제부터인가요?8월말?9월초?
서류통과하고싶어요ㅠㅠ
서류통과하고싶어요ㅠㅠ
