면접에이런질문이나올까요
미국취업이민고민중이에요..어떨까요?
취업시기..
자유롭게일하고몇백씩벌어요~
'주식회사경도(Gyeongdo)'
전문대졸업연봉2000(상여없음)으로가면낮은걸까요?
스펙질문입니다ㅎ
서류탈락그만하고싶다
방학때다들뭐하세요..???저능..!!
자소서구체적으로작성하기..
자소서현직자조언..
강점찾기..젤어려움
자소서에강점을뭘로쓰나요...
원자력관련전공인데취업고민
자소서읽기는하나?
누가정리해줬으면하는취업자료
서류탈그래서였나..
자격증따서취업해요^^
흙수저로취업하기
흙수저로취업하기
영어회화왕왕초보라면..?회화고자탈출프로젝트!!무료선착순모집이래요~(feat.오늘마감)
영어회화왕왕초보라면..?회화고자탈출프로젝트!!무료선착순모집이래요~(feat.오늘마감)
대구토익학원추천해주세여
직무고민이많은밤이네요...
스펙쌓기진작할걸그랬네요..ㅠ
주말시간활용해야겠죠???
일자리괜찮은곳어디없을까요??
어떤일을하면좋을까요??
지금당장회화스터디시작해야겠어요...ㅋㅋ
쇼호스트아카데미다닌후스터디로공채준비중
여성이부담없이일할수있는직업이뭐가있을까요??
여성이부담없이일할수있는직업이뭐가있을까요??
여성이부담없이일할수있는직업이뭐가있을까요??
취업어떻게하는건다여...ㅜㅜ
취업어떻게하는건다여...ㅜㅜ
인터넷뉴스회사에서면접보라고연락이왔습니다.
금융권영업관심있으신분들편하게놀다가세요^^
취업정보부탁드립니다~
취업정보부탁드립니다~
취업정보부탁드립니다~
취업정보부탁드립니다~
취업막막하네요..
취업막막하네요..
동시통역
부산게임그래픽학원아시는분!?
미국이민생각하는분들세미나참석해알아보세요.
미국이민생각하는분들세미나참석해알아보세요.
전형상관없는이직
건강코디네이터들어보신분
SK전반기합격자소서
외국계계약직이직괜찮을까요?
외국계계약직이직괜찮을까요?
자소서...여전히힘드신가요?
마케팅용어총정리가져옴ㅋㅋㅋㅋㅋㅋㅋ존좋
취업전.....고민
취업할때교과목도보는편인가요?
공학인증vs토익
임상심리사어떻게생각하나요?
또떨어졌어..또...
학원강사로일해보신분계신가요?
학원강사로일해보신분계신가요?
고민이하나있습니다
취업이냐..유학이냐....
인적성이완꺼는어떤가요?
요즘너무더워요이럴땐집에서ㅜㅜ
인터파크UCC공모전으로취업전에이력서한줄더넣고싶어요ㅋㅋㅋ
인터파크UCC공모전으로취업전에이력서한줄더넣고싶어요ㅋㅋㅋ
으아아아아드뎌취업~!!!!!!!!!!!!!!!!!!!!!!
대졸취업학습지교사어떻게생각해요??
조언구합니다.도와주세요~
형님들답좀해주세요!!!!!!!!!!!!!!!
어떻게할지고민입니다.
미용학원을다녀도취업은어떻게??
미국이민생각하시는분들공유해요
고민입니다
모두들화이팅입니다~
여름방학신토익시작ㅠㅜ
여름방학신토익시작ㅠㅜ
수원역쪽에면접복장파는곳잇나요?
UCC공모전
UCC공모전
전공과직무와의연관성은?!!
도와주이소ㅠㅜ토익
도와주이소ㅠㅜ토익
도와주이소ㅠㅜ토익
강남역스터디카페추천이요!!!
토익학원추천좀해주세요!!
토익학원추천좀해주세요!!
토익학원추천좀해주세요!!
2016코오롱그룹W인턴십모집
미국취업이민생각중인데저랑같이세미나가보실분~?
스터디모집하시는분들
고민이에요ㅠㅠ
대체뭘해야하는걸까지금은
여자면접정장어떤가요?봐주세용
여자면접정장어떤가요?봐주세용
유통MD취업하고싶은데...
취업관련해서진로상담좀부탁드릴꼐요ㅠ
대학생취업준비학습지교사괜찮은지요?
게임분야
혹시스타텍홀딩스라는회사아시는분있나요??
유통md가되고싶은데...
스펙...
스펙...
취업지원하면서무얼해야되나요...
삼성은오픽이답이겠죠?
심평원사무직스펙좀여ㅠㅠ
조언좀부탁드리겠습니다..
토익...
영어공부다시시작!
오늘은인강만마저듣고불금즐겨야겠어요
1년하고이직
여성전문직한솔교육학습지교사어떻게생각하세요??
자기소개서쓸려는데너무막막하네요ㅠㅠ
뭘로공부하세여?
뭘로공부하세여?
뭘로공부하세여?
학원구직사이트제일괜찮은곳추천해주세요~ㅠㅠ
학원구직사이트제일괜찮은곳추천해주세요~ㅠㅠ
KTL에서하는품질관리전문인력양성과정과취업률..
영문과나와서뭐할까용
삼성금융아카데미신청~
파견직고민입니다ㅜㅜ
학점,,
음악치료사에대해잘아는분계시나요?
고수님들도와주세요!
방송일..
24살쓰레기같은인생진로고민좀도와주세요
24살쓰레기같은인생진로고민좀도와주세요
삼성금융아카데미신청
나이많은중고신입
수술해도상관없겟죠?ㅠ
인문계열..
경창정공질문이요
정말고민입니다.
정말고민입니다.
1분스피치
1분스피치
학점고민입니다.
봉사활동
토익괜찮은학원있나요?????
연말에도토익공부하는분들계시나요?
면접잘보는법알려주세요..
면접잘보는법알려주세요..
보통취업할때뭐준비하시나요?
이직고민
사람인자소서항목및글자수질문드립니다!
채용사이트를많이둘러봐야할것같아요
영어울렁증?영어회화?
갈지말지고민됩니다.
합격스펙이요ㅎㅎ
중소기업진흥공단&세아베스틸&IBM등합격스펙
미국유학생,냉정한평가부탁드립니다.
[급]영어면접좀도와주세요ㅠㅠ
지지무역면접봐보신분들잇으신가요~~?ㅠㅠ
디자인계열취업하고싶은데뭘로나갈지고민이에요ㅠㅠ
